numero	nom	mot clés	description breve	description
19	Topaze	codes identitaires, collectif, transmission, potentiel, maitrise	Lien à l'âme, à l'essentiel, à notre identité profonde. Serviteur des autres pour contribution à l'éveil en utilisant notre identité profonde. Déployer les axes qui sont les nôtres auprès de tous donas la pacification plutôt que la révolte.	
20	Lapis Lazulli	lois cosmiques, vision, transmission cohérence	Respect, Cairvoyance, Réalité. Dissout les illusions, les voiles, croyances erronées pour voir la vérité. Demande de se respecter, d'être vrai avec soi-même, noblesse, essentiel. Pouvoir de décision (cohérence entre conscience et action). Désamorce les idées fixes et entêtements.	
21	Tourmaline Noire	force vitale, ouverture au monde, équilibrage	Lien avec le monde, lien avec Terre++ (et ciel). Ouverture ayx énergies extérieures. Sort du repli, de l'isolement (Nomades ou Casaniers). Dépollue des indes électro-magnétiques.	
22	Quartz	pureté, clarification	Clarification, Guide, Nettoyage. Aide à identifier, clarifier, voir les dualités et à ne pas basculer dans l'intolérance. Pousse à la perfection, exigence.	
23	Azurite	rêve, inspiration, écoute, étoiles	Inspiration. Connexions aux étoiles. Poête, Rêveur, Originaux, Innovateur. Personnes qui se sentent souvent en décalage. Aide les personnes trop rationnelles.	
24	Amazonite	peurs, suspicion, affect, ouverture de coeur, présence	Réparation blessure du coeur. Dissout les schemas mentaux dus aux blessures de coeur : repli sur nous même. Peur d'être blessé, méfiance, dépendance affective, mécanismes associés. Dissout amalgame entre amour et souffrance.	
25	Septaria	émotion, sensibilité, spontanéité, puissance	Meilleure expression de l'émotion. Apaise les chocs, déverrouille le plexus. Aide à comprendre les émotions, à les accueillir, les exprier (pleurs).	
26	Pyrite	sensibilité, alchimie, génie, matérialisation, multidimensionnel	Transformation, Nouveauté. Révéler ce que l'on touche. Libère les potentiels et fait émerger les talents. Fait sortir des cadres restreints (transforme les captations en matière). Besoin de butiner à droite à gauche. Se surprendre soi-même. Aller vers la nouveauté. Aide à sortir de l'ennui.	
27	Fluorine	fluidité, circulation, clairvoyance, perceptions extrasensorielles	Clareté des perceptions. Fluidifie l'intuition (en complément du Lapis ou P. de Lune)	
28	Apatite	émotions, mémoires	Empathie, Soulage le feu. Liée à l'eau. Aide à fluidifier, ne pas laisser les choses se calcifier, décristalise le blocage. Guérison par les pleurs, Soulage l'inflammation.	
29	Sodalite	père, réconciliation, transmission, rébellion, douceur, lois	Bienveillance douce (Père). Reconnaitre le masculin. Aide sur problème avec Papa. Permet de se nourrir de l'amour du Père. Calme la rébellion envers l'autorité.	
30	Quartz Fumé	lumière, matière, tolérance, synthèse, énergie, union	Clarification des parties Obscures. Révéler ce qui est au fond. Permet d'identifier les parties obscure au fond de nous, sans jugement et avec la volonté de clarification, d'exprimer (ou comprendre) ce qui ne nous convient pas. Permet d'être plus nuancé, plus tolérant avec nous même et les autres sur ces parties obscures. Tempère notre perfectionnisme.	
31	Soufre	lien, circulation, alchimie, mystère, créativité, découverte	Nettoyage, Transmutation. Donne de la légèreté pour voir les choses. Donne du sens, de la cohérence et créer de la réparation, de la structure. Aide à accueillir et comprendre la souffrance. Dépolut des métaux lourd.	
32	Labradorite	mental, pensée, formulation, intuition, transmission, conscience	Clareté mentale. Dépollueuse psychique. Conscience claire, fait du lien dans les idées. Stimule une écoute particulière.	
33	Apophylite	abandon, connaissance, matière, universalité, amour	Pureté, Magie blanche. Reconnecte la puereté et en prend soin. Désinscrit de vieilles inscription de magie noire. Porteur de pureté mais qui peur se polluer, se salir.	
